step,t(s),meas_pos(m),meas_vel(m/s),est_pos(m),est_vel(m/s),u(m/s^2)
189,1.89,5.85633,-0.0707787,5.86395,-0.10148,-0.581321
190,1.9,5.81799,-0.128942,5.86243,-0.109415,-0.580772
191,1.91,5.79558,-0.0677962,5.86132,-0.110808,-0.580592
192,1.92,5.91421,-0.118871,5.8605,-0.116752,-0.580212
193,1.93,5.87505,-0.154716,5.85911,-0.125588,-0.579632
194,1.94,5.89923,-0.108048,5.85829,-0.129107,-0.579374
195,1.95,5.88429,-0.11095,5.85735,-0.132585,-0.579106
196,1.96,5.75826,-0.178234,5.85505,-0.142305,-0.578389
197,1.97,5.87554,-0.15874,5.85363,-0.14907,-0.57791
198,1.98,5.87623,-0.184979,5.85199,-0.157678,-0.577315
199,1.99,5.75155,-0.150319,5.84991,-0.162345,-0.576873
200,2,5.8745,-0.137115,5.84869,-0.165129,-0.576612
201,2.01,5.82842,-0.151385,5.84707,-0.169067,-0.576254
202,2.02,5.8226,-0.188344,5.84509,-0.176147,-0.575702
203,2.03,5.9433,-0.181054,5.84391,-0.18168,-0.575307
204,2.04,5.80319,-0.186155,5.84184,-0.187367,-0.574816
205,2.05,5.81427,-0.178532,5.83992,-0.191766,-0.574404
206,2.06,5.87252,-0.229356,5.83789,-0.200488,-0.573765
207,2.07,5.92728,-0.213618,5.83633,-0.206797,-0.573293
208,2.08,5.78999,-0.202041,5.83407,-0.211597,-0.572827
209,2.09,5.79289,-0.219561,5.83167,-0.217593,-0.572288
210,2.1,5.86507,-0.223047,5.82968,-0.22324,-0.571806
211,2.11,5.79582,-0.219938,5.82731,-0.228146,-0.571324
212,2.12,5.82726,-0.256942,5.82481,-0.23605,-0.570679
213,2.13,5.76996,-0.241585,5.82212,-0.241815,-0.570121
214,2.14,5.76931,-0.228167,5.81956,-0.24575,-0.569668
215,2.15,5.89841,-0.245022,5.8176,-0.250719,-0.569224
216,2.16,5.80303,-0.246863,5.81508,-0.255521,-0.568732
217,2.17,5.77461,-0.231913,5.81254,-0.258478,-0.56833
218,2.18,5.79654,-0.255345,5.80993,-0.263342,-0.567826
219,2.19,5.79326,-0.26936,5.80719,-0.269073,-0.567265
220,2.2,5.87065,-0.295132,5.80466,-0.276589,-0.566636
221,2.21,5.75242,-0.269293,5.8017,-0.281094,-0.566116
222,2.22,5.76669,-0.300136,5.79856,-0.288073,-0.565453
223,2.23,5.8228,-0.269148,5.79603,-0.291352,-0.565035
224,2.24,5.78736,-0.316808,5.79287,-0.298893,-0.564343
225,2.25,5.80469,-0.297152,5.79001,-0.303814,-0.56381
226,2.26,5.82128,-0.346559,5.7868,-0.312929,-0.563033
227,2.27,5.77599,-0.296087,5.7838,-0.316435,-0.562558
